"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","3534-blue-line",
1,3,"heavy_rail","3534-blue-line",
7,11,"heavy_rail","3530-purple-line",2021
11,12,"heavy_rail","3530-purple-line",2023
8,13,"heavy_rail","3530-purple-line",2023
14,16,"heavy_rail","3531-green-line",2024
15,17,"heavy_rail","3531-green-line",2021
18,19,"heavy_rail","3533-pink-line",
63,64,"commuter_rail","3538-kanaka-line",2026
65,66,"commuter_rail","3536-mallige-line",2026
67,68,"heavy_rail","4234-hebbal---sarjapur-line",
5,6,"heavy_rail","3532-yellow-line",2025
8,21,"heavy_rail","3530-purple-line",2011
15,50,"heavy_rail","3531-green-line",2017
42,50,"heavy_rail","3531-green-line",2014
41,42,"heavy_rail","3531-green-line",2014
14,41,"heavy_rail","3531-green-line",2015
21,30,"heavy_rail","3530-purple-line",2016
7,30,"heavy_rail","3530-purple-line",2015
